Index,Seed,Level,Model,Command,DurationSeconds
6,1,partial-divider_salad,bd,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",178.1
30,1,open-divider_tomato,greedy,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",21.3
11,1,open-divider_salad,bd,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",199.6
32,1,full-divider_tl,dc,"python main.py --num-agents 2 --seed 1 --level full-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",7.8
21,1,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",101.3
26,1,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",124.7
23,1,partial-divider_tomato,fb,"python main.py --num-agents 2 --seed 1 --level partial-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",133.0
35,1,full-divider_tl,greedy,"python main.py --num-agents 2 --seed 1 --level full-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",11.7
13,1,open-divider_salad,fb,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",242.0
24,1,partial-divider_tomato,up,"python main.py --num-agents 2 --seed 1 --level partial-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",151.3
28,1,open-divider_tomato,fb,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",140.2
34,1,full-divider_tl,up,"python main.py --num-agents 2 --seed 1 --level full-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",74.9
39,1,partial-divider_tl,up,"python main.py --num-agents 2 --seed 1 --level partial-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",28.5
37,1,partial-divider_tl,dc,"python main.py --num-agents 2 --seed 1 --level partial-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",43.5
40,1,partial-divider_tl,greedy,"python main.py --num-agents 2 --seed 1 --level partial-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",29.5
29,1,open-divider_tomato,up,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",157.1
